Sample	kmer_content	File type	Filename	per_base_gc_content	overrepresented_sequences	%GC	per_sequence_quality_scores	basic_statistics	per_base_sequence_content	sequence_length_distribution	avg_sequence_length	sequence_duplication_levels	Filtered Sequences	Total Sequences	per_base_sequence_quality	Sequence length	per_base_n_content	Encoding	per_sequence_gc_content
KS28_S3_L004_R1_001	warn	Conventional base calls	KS28_S3_L004_R1_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.78796191134816	warn	0.0	23321277.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
KS28_S3_L004_R2_001	warn	Conventional base calls	KS28_S3_L004_R2_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.73134176706163	warn	0.0	23275985.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
KS29_S2_L001_R1_001	warn	Conventional base calls	KS29_S2_L001_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.74898013539075	warn	0.0	19801648.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
KS29_S2_L001_R2_001	warn	Conventional base calls	KS29_S2_L001_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.72003837228364	warn	0.0	19783029.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
KS29_S2_L002_R1_001	warn	Conventional base calls	KS29_S2_L002_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.758715150521496	warn	0.0	19395735.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
KS29_S2_L002_R2_001	warn	Conventional base calls	KS29_S2_L002_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.721688309858116	warn	0.0	19371989.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
KS29_S2_L003_R1_001	warn	Conventional base calls	KS29_S2_L003_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.754406142168285	warn	0.0	19736483.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
KS29_S2_L003_R2_001	warn	Conventional base calls	KS29_S2_L003_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.721266971447726	warn	0.0	19711636.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
KS29_S2_L004_R1_001	warn	Conventional base calls	KS29_S2_L004_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.76245395095058	warn	0.0	19702904.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
KS29_S2_L004_R2_001	warn	Conventional base calls	KS29_S2_L004_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.711906724140974	warn	0.0	19665367.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
KS30_S4_L001_R1_001	warn	Conventional base calls	KS30_S4_L001_R1_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.686709978043055	warn	0.0	25205233.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
KS30_S4_L001_R2_001	warn	Conventional base calls	KS30_S4_L001_R2_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.65513886953956	warn	0.0	25180324.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
KS30_S4_L002_R1_001	warn	Conventional base calls	KS30_S4_L002_R1_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.69671144170754	warn	0.0	24711163.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
KS30_S4_L002_R2_001	warn	Conventional base calls	KS30_S4_L002_R2_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.65503355677502	warn	0.0	24677580.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
KS30_S4_L003_R1_001	warn	Conventional base calls	KS30_S4_L003_R1_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.690762547185486	warn	0.0	25057492.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
KS30_S4_L003_R2_001	warn	Conventional base calls	KS30_S4_L003_R2_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.65658735286082	warn	0.0	25024521.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
KS30_S4_L004_R1_001	warn	Conventional base calls	KS30_S4_L004_R1_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.69935671875167	warn	0.0	25021404.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
KS30_S4_L004_R2_001	warn	Conventional base calls	KS30_S4_L004_R2_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.6454907342439	warn	0.0	24970817.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
